data,data2
4.4725399408284e-05,120562.624176565
4.47869624630178e-05,120095.694625437
4.48485255177515e-05,119628.765074308
4.49100885724852e-05,119161.83552318
4.49716516272189e-05,118694.905972051
4.50332146819527e-05,118227.976420923
4.50947777366864e-05,117761.843813067
4.51563407914201e-05,117295.899859413
4.52179038461539e-05,116829.95590576
4.52794669008876e-05,116364.011952106
4.53410299556213e-05,115898.067998452
4.5402593010355e-05,115432.124044799
4.54641560650888e-05,114911.506417497
4.55257191198225e-05,114096.98518757
4.55872821745562e-05,113282.463957644
4.56488452292899e-05,112467.942727717
4.57104082840237e-05,111653.42149779
4.57719713387574e-05,110838.900267863
4.58335343934911e-05,110024.379037937
4.58950974482249e-05,109209.926691611
4.59566605029586e-05,108395.585935957
4.60182235576923e-05,107581.245180304
4.6079786612426e-05,106766.90442465
4.61413496671598e-05,105952.563668996
4.62029127218935e-05,105138.222913343
4.62644757766272e-05,104323.882157689
4.6326038831361e-05,103644.302440676
4.63876018860947e-05,103108.93368285
4.64491649408284e-05,102573.564925024
4.65107279955621e-05,102038.196167198
4.65722910502959e-05,101502.827409373
4.66338541050296e-05,100967.458651547
4.66954171597633e-05,100432.089893721
4.6756980214497e-05,99896.438318252
4.68185432692308e-05,99360.447295074
